Metric,Prior_1000,TL_1000,Delta_TL_minus_Prior,Fold_TL_over_Prior
predicted_pKi_mean,6.531452071389368,6.673987780979443,0.14253570959007522,1.0218229741307365
predicted_pKi_median,6.508502293980895,6.646708995355878,0.13820670137498325,1.0212347933721706
predicted_pKi_max,7.9218264342671345,8.941557428836823,1.0197309945696889,1.1287242283116274
predicted_pKi_top10_mean,7.573206025272664,8.020908128125933,0.4477021028532695,1.0591165883192977
n_pred_pKi_ge_7,102.0,171.0,69.0,1.6764705882352942
n_pred_pKi_ge_8,0.0,4.0,4.0,
n_basic_druglike,791.0,600.0,-191.0,0.7585335018963337
