seed_id,seed_rank,source_molecule_id,canonical_smiles,model_smiles,target_pKi,mw,clogp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,qed,basic_druglike_flag
FXA_PKI_GE_8p0_00122,122,CHEMBL389960,NCc1ccc(Cl)cc1CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCc1cccc[n+]1[O-])NS(=O)(=O)CC(=O)O,NCc1ccc(Cl)cc1CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCc1cccc[n+]1[O-])NS(=O)(=O)CC(=O)O,10.096910013008056,568.0520000000002,0.04470000000000218,185.83999999999997,4,7,12,38,0.2043792733017604,True
FXA_PKI_GE_8p0_00123,123,CHEMBL263252,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4C[n+]4ccccc4)cc3F)cc12,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4C[n+]4ccccc4)cc3F)cc12,10.096910013008056,573.5300000000002,6.008700000000004,102.85,2,5,6,42,0.18777459286108686,False
FXA_PKI_GE_8p0_00124,124,CHEMBL461453,COc1ccc(-n2nc(C#N)c3c2C(=O)N(c2ccc(C4(N(C)C)CC4)cc2)CC3)cc1,COc1ccc(-n2nc(C#N)c3c2C(=O)N(c2ccc(C4(N(C)C)CC4)cc2)CC3)cc1,10.075720713938118,427.50800000000027,3.5061800000000023,74.38999999999999,0,5,5,32,0.6230281274848792,True
FXA_PKI_GE_8p0_00125,125,CHEMBL230134,C[C@H](NC(=O)[C@@H](CCc1ccccn1)NS(=O)(=O)Cc1ccccc1)C(=O)NCc1cc(Cl)ccc1CN,C[C@H](NC(=O)[C@@H](CCc1ccccn1)NS(=O)(=O)Cc1ccccc1)C(=O)NCc1cc(Cl)ccc1CN,10.075720713938118,558.104,2.435599999999999,143.28,4,6,13,38,0.25405086532687554,False
FXA_PKI_GE_8p0_00126,126,CHEMBL468782,COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(C4(N(C)C)CC4)cc2)CC3)cc1,COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(C4(N(C)C)CC4)cc2)CC3)cc1,10.070581074285707,470.4950000000003,4.653300000000003,50.60000000000001,0,4,5,34,0.5447404195778368,True
FXA_PKI_GE_8p0_00127,127,CHEMBL367840,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,10.060480747381382,468.6050000000002,4.924640000000004,104.01,3,4,6,35,0.27578386195558885,True
FXA_PKI_GE_8p0_00128,128,CHEMBL252853,COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)Cc2ccc(-n3ccccc3=O)cc2F)cc1,COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)Cc2ccc(-n3ccccc3=O)cc2F)cc1,10.045757490560677,471.41000000000014,4.6151000000000035,66.12,0,4,6,34,0.3042805368337713,True
FXA_PKI_GE_8p0_00129,129,CHEMBL554926,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,10.045757490560677,559.5010000000003,5.076400000000002,133.11,2,7,5,39,0.28715950434205006,True
FXA_PKI_GE_8p0_00130,130,CHEMBL185707,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3ccnc3)cc2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3ccnc3)cc2)c1,10.045757490560677,439.401,3.613170000000002,114.61,3,4,5,32,0.3254960967682911,True
FXA_PKI_GE_8p0_00131,131,CHEMBL186831,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3cnc4ccccc43)cc2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3cnc4ccccc43)cc2)c1,10.045757490560677,489.46100000000007,4.766370000000003,114.61,3,4,5,36,0.24378278265664707,True
FXA_PKI_GE_8p0_00132,132,CHEMBL456677,COc1ccc(-n2nc(C#N)c3c2C(=O)N(c2ccc(C4(CN5CCOCC5)CC4)cc2)CC3)cc1,COc1ccc(-n2nc(C#N)c3c2C(=O)N(c2ccc(C4(CN5CCOCC5)CC4)cc2)CC3)cc1,10.031517051446064,483.57200000000046,3.319280000000002,83.61999999999999,0,6,6,36,0.5349797994707646,True
FXA_PKI_GE_8p0_00133,133,CHEMBL397921,NCc1ccc(Cl)cc1CNC(=O)CNC(=O)[C@@H](CCc1cccc[n+]1[O-])NS(=O)(=O)Cc1ccccc1,NCc1ccc(Cl)cc1CNC(=O)CNC(=O)[C@@H](CCc1cccc[n+]1[O-])NS(=O)(=O)Cc1ccccc1,10.022276394711152,560.0760000000002,1.2855000000000012,157.32999999999998,4,6,13,38,0.18242183394383177,False
FXA_PKI_GE_8p0_00134,134,CHEMBL26240,CC(=N)N1CCC(Oc2ccc(N(C/C=C/c3cc(C(=N)N)ccc3O)C(=O)CCC(=O)O)cc2C(F)(F)F)CC1,CC(=N)N1CCC(Oc2ccc(N(C/C=C/c3cc(C(=N)N)ccc3O)C(=O)CCC(=O)O)cc2C(F)(F)F)CC1,10.0,575.5880000000002,4.446640000000002,164.03,5,6,10,41,0.20636303475869458,True
FXA_PKI_GE_8p0_00135,135,CHEMBL423656,CC(=N)N1CCC(Oc2ccc(NC/C=C/c3cc(C(=N)N)ccc3O)cc2C(F)(F)F)CC1,CC(=N)N1CCC(Oc2ccc(NC/C=C/c3cc(C(=N)N)ccc3O)cc2C(F)(F)F)CC1,10.0,475.51500000000016,4.660740000000003,118.45000000000002,5,5,7,34,0.294849351472707,True
FXA_PKI_GE_8p0_00136,136,CHEMBL171854,CC(=N)NCc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CC(=N)NCc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,10.0,532.4310000000002,6.6467700000000045,106.97000000000001,4,4,7,37,0.15800859762988073,False
FXA_PKI_GE_8p0_00137,137,CHEMBL5180135,CC(C)(C)NC(=O)NC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3cccc(CN)c3)c2)CC1,CC(C)(C)NC(=O)NC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3cccc(CN)c3)c2)CC1,10.0,633.8189999999998,3.074670000000004,183.5,6,6,10,45,0.14725453189473128,False
FXA_PKI_GE_8p0_00138,138,CHEMBL364268,CC(C)N1CCC(NC(=O)c2cc3cccc([N+](=O)[O-])c3n2Cc2cc(-c3cc(Cl)cs3)on2)CC1,CC(C)N1CCC(NC(=O)c2cc3cccc([N+](=O)[O-])c3n2Cc2cc(-c3cc(Cl)cs3)on2)CC1,10.0,528.0340000000002,5.570300000000005,106.44,1,7,7,36,0.24856237516295568,True
FXA_PKI_GE_8p0_00139,139,CHEMBL25073,CCc1nc2c([N+](=O)[O-])c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CCc1nc2c([N+](=O)[O-])c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,10.0,513.6020000000003,4.832840000000003,147.15,3,6,7,38,0.13949874827161501,True
FXA_PKI_GE_8p0_00140,140,CHEMBL25068,CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1C/C=C/c1cc(N)ccc1O,CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1C/C=C/c1cc(N)ccc1O,10.0,433.55600000000015,4.4402700000000035,100.39,3,5,6,32,0.230913823891199,True
FXA_PKI_GE_8p0_00141,141,CHEMBL25477,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1C/C=C/c1cc(N)ccc1O,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1C/C=C/c1cc(N)ccc1O,10.0,433.55600000000015,4.4402700000000035,100.39,3,5,6,32,0.230913823891199,True
FXA_PKI_GE_8p0_00142,142,CHEMBL176136,CN(C)C(=N)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CN(C)C(=N)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,10.0,532.4310000000002,6.446970000000005,98.18,3,4,6,37,0.19649054869690374,False
FXA_PKI_GE_8p0_00143,143,CHEMBL1270651,CN(C)Cc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CN(C)Cc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,10.0,519.4320000000001,6.621600000000006,74.33000000000001,2,4,7,36,0.28784637644939487,False
FXA_PKI_GE_8p0_00144,144,CHEMBL366962,CN(C)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CN(C)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,10.0,505.40500000000014,6.626000000000005,74.33000000000001,2,4,6,35,0.3087404579618092,False
FXA_PKI_GE_8p0_00145,145,CHEMBL174558,CN(Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1)C(=N)N,CN(Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1)C(=N)N,10.0,471.34800000000007,4.218270000000002,124.2,4,4,6,32,0.31667523377171003,True
FXA_PKI_GE_8p0_00146,146,CHEMBL439418,CS(=O)(=O)c1ccccc1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3cc4ccc(Cl)cc4s3)C2=O)c(F)c1,CS(=O)(=O)c1ccccc1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3cc4ccc(Cl)cc4s3)C2=O)c(F)c1,10.0,605.1340000000001,5.459900000000005,100.62,1,6,7,39,0.3019105938336166,False
FXA_PKI_GE_8p0_00147,147,CHEMBL159816,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2conc2-c2cccc(C(=N)N)c2)cc1,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2conc2-c2cccc(C(=N)N)c2)cc1,10.0,460.5150000000002,3.9484700000000013,139.14000000000001,3,6,6,33,0.29405544096186254,True
FXA_PKI_GE_8p0_00148,148,CHEMBL183682,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3cnc4ccccc43)cc2F)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-n3cnc4ccccc43)cc2F)c1,10.0,507.4510000000001,4.905470000000003,114.61,3,4,5,37,0.17824956589629093,True
FXA_PKI_GE_8p0_00149,149,CHEMBL256820,NC(=O)CN(C1CCCN(c2ccc(-n3ccccc3=O)cc2)C1=O)S(=O)(=O)c1cc2ccc(Cl)nc2s1,NC(=O)CN(C1CCCN(c2ccc(-n3ccccc3=O)cc2)C1=O)S(=O)(=O)c1cc2ccc(Cl)nc2s1,10.0,572.0680000000002,2.7721999999999998,135.67000000000002,1,7,7,38,0.338808580504527,True
FXA_PKI_GE_8p0_00150,150,CHEMBL379036,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4CN4CCCC4)cc3F)cc12,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4CN4CCCC4)cc3F)cc12,10.0,564.5430000000003,6.268700000000004,102.21,2,6,6,41,0.23590516745201345,False
FXA_PKI_GE_8p0_00151,151,CHEMBL368285,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccncc4S(N)(=O)=O)cc3F)cc12,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccncc4S(N)(=O)=O)cc3F)cc12,10.0,561.4770000000002,3.715300000000001,172.01999999999998,3,8,5,39,0.2725000113384028,True
FXA_PKI_GE_8p0_00152,152,CHEMBL515919,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2F)c(C(=O)Nc2ccc(Cl)cn2)c1,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2F)c(C(=O)Nc2ccc(Cl)cn2)c1,9.978810700930062,469.90400000000017,4.274270000000002,107.41000000000001,3,5,6,33,0.3688188710735741,True
FXA_PKI_GE_8p0_00153,153,CHEMBL386294,CCN(CC)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,CCN(CC)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,9.958607314841776,574.6070000000002,6.326200000000006,93.41999999999999,1,6,7,42,0.2443847715256091,False
FXA_PKI_GE_8p0_00154,154,CHEMBL73193,CN1CCN=C1c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(N(C)CC(=O)O)c2F)c1,CN1CCN=C1c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(N(C)CC(=O)O)c2F)c1,9.958607314841776,526.5000000000002,3.1468700000000007,157.59,4,9,9,38,0.2427923786814666,True
